time_ns,device,sensor,x,y,z,extra
1774665763621625600,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.5896686543702311, ""qx"": -0.32093747459458066, ""qz"": 0.31466999276234936, ""roll"": -0.2664928539965343, ""qw"": -0.8642079755586881, ""qy"": 0.22611195091397454, ""pitch"": 0.7712258167508644}"
1774665763631608800,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.5826127390874409, ""qx"": -0.3213551090004092, ""qz"": 0.31171568705431646, ""roll"": -0.2671147346872268, ""qw"": -0.8653660656505564, ""qy"": 0.2251794984606617, ""pitch"": 0.7705968183039296}"
1774665763641592800,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.5755111115309968, ""qx"": -0.3217420051203917, ""qz"": 0.30875258302695535, ""roll"": -0.2678346988351154, ""qw"": -0.8665179705580466, ""qy"": 0.22427777141883795, ""pitch"": 0.7699274343255037}"
1774665763651575600,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.568396328305844, ""qx"": -0.3221222326350357, ""qz"": 0.3057834423771104, ""roll"": -0.2685809706796057, ""qw"": -0.8676593883165217, ""qy"": 0.22338507465886984, ""pitch"": 0.7692542634355715}"
1774665763661558500,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.5612705325564719, ""qx"": -0.32249600775536785, ""qz"": 0.3028079621607568, ""roll"": -0.2693460058470615, ""qw"": -0.868791198807959, ""qy"": 0.2224983355042438, ""pitch"": 0.7685755731226045}"
1774665763671541800,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.5541122654873959, ""qx"": -0.322856441699585, ""qz"": 0.2998150607559335, ""roll"": -0.27012019562374323, ""qw"": -0.8699222950898498, ""qy"": 0.22160754710920377, ""pitch"": 0.7678673352340825}"
1774665763681524700,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.546912258009905, ""qx"": -0.3231844592847735, ""qz"": 0.29679482502826576, ""roll"": -0.2708711458345313, ""qw"": -0.8710682232226789, ""qy"": 0.2206917480048037, ""pitch"": 0.7670741498424842}"
1774665763691507500,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.5665442470427717, ""qx"": -0.3204946622721692, ""qz"": 0.30543827730686657, ""roll"": -0.27158787611971663, ""qw"": -0.8682063999181501, ""qy"": 0.22407198392449515, ""pitch"": 0.7661850071552468}"
1774665763701490700,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.5593751237783791, ""qx"": -0.3207432775482122, ""qz"": 0.30243338910809736, ""roll"": -0.2723255456316858, ""qw"": -0.8694053471332293, ""qy"": 0.22314158131612713, ""pitch"": 0.7652020926487193}"
1774665763711474700,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.5521911425185191, ""qx"": -0.32094805364230566, ""qz"": 0.2994189414262441, ""roll"": -0.2730815000938621, ""qw"": -0.8706112021435294, ""qy"": 0.2222089133078048, ""pitch"": 0.7641298932241981}"
1774665763721457700,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.5449893715503248, ""qx"": -0.3210889740491161, ""qz"": 0.2963968917457772, ""roll"": -0.2738799686567036, ""qw"": -0.8718288079669523, ""qy"": 0.22128085963321711, ""pitch"": 0.7629312431481816}"
1774665763731441000,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.5377665234492262, ""qx"": -0.3211686164300163, ""qz"": 0.2933694578895745, ""roll"": -0.274745146253508, ""qw"": -0.8730534708078181, ""qy"": 0.2203693617730628, ""pitch"": 0.7616189720371639}"
1774665763741423600,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.5304772164458186, ""qx"": -0.32119306409229736, ""qz"": 0.2903171508287299, ""roll"": -0.2756807961830978, ""qw"": -0.874290495976279, ""qy"": 0.21946981253368614, ""pitch"": 0.7601963977078886}"
1774665763751406600,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.5230415383645051, ""qx"": -0.32121659549059883, ""qz"": 0.2872017508526302, ""roll"": -0.276661359128426, ""qw"": -0.8755360327783636, ""qy"": 0.21856755075365517, ""pitch"": 0.7587562171559304}"
1774665763761389800,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.5154357782149788, ""qx"": -0.3213207703959444, ""qz"": 0.2839989137745138, ""roll"": -0.2775873010544754, ""qw"": -0.8767755350858595, ""qy"": 0.2176286932664973, ""pitch"": 0.7574419216861268}"
1774665763771372800,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.5076201618885211, ""qx"": -0.32157000188981166, ""qz"": 0.2806638407470233, ""roll"": -0.27828020682526894, ""qw"": -0.8780181649541972, ""qy"": 0.216574788737577, ""pitch"": 0.7563318787680218}"
1774665763781356500,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.49955004380638574, ""qx"": -0.32203059350993296, ""qz"": 0.2771597501342414, ""roll"": -0.27862120734265344, ""qw"": -0.8792618356045023, ""qy"": 0.21535392098793818, ""pitch"": 0.7555282732660545}"
1774665763791339500,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.4912395116677885, ""qx"": -0.3227268443921631, ""qz"": 0.27348727122470207, ""roll"": -0.2785692841857906, ""qw"": -0.8804978641876486, ""qy"": 0.21395205622966676, ""pitch"": 0.7550799921466319}"
1774665763801322800,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.48278339516126445, ""qx"": -0.3236241977267717, ""qz"": 0.26970620563302594, ""roll"": -0.27823697414277176, ""qw"": -0.8817025379333223, ""qy"": 0.21242989442740742, ""pitch"": 0.754971447661829}"
1774665763811305700,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.4743272826110215, ""qx"": -0.32459476057396797, ""qz"": 0.2658979353793726, ""roll"": -0.2777538154217692, ""qw"": -0.8828814346076583, ""qy"": 0.21084839287990553, ""pitch"": 0.7549958968619406}"
1774665763821288700,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.46601256757101583, ""qx"": -0.32551416919292425, ""qz"": 0.26214597272593715, ""roll"": -0.2772718182624542, ""qw"": -0.8840371059915314, ""qy"": 0.20928093278925897, ""pitch"": 0.7549572241320842}"
1774665763831271700,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.45786889547892884, ""qx"": -0.32628291706790197, ""qz"": 0.2584863267722167, ""roll"": -0.27695219472113697, ""qw"": -0.885182104315337, ""qy"": 0.2077908860224763, ""pitch"": 0.7546885345458617}"
1774665763841254700,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.4499115917006821, ""qx"": -0.32687333250715583, ""qz"": 0.2549350804075974, ""roll"": -0.2768567602876547, ""qw"": -0.8863171710877114, ""qy"": 0.20640667432827817, ""pitch"": 0.7541474049926966}"
1774665763851238700,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.4420202169134476, ""qx"": -0.3272983351940462, ""qz"": 0.251447200716756, ""roll"": -0.2770361485462576, ""qw"": -0.8874514507969576, ""qy"": 0.20513392411943027, ""pitch"": 0.7533464059611547}"
1774665763861222000,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.4340798764345881, ""qx"": -0.3276240496382107, ""qz"": 0.24797343950131218, ""roll"": -0.27748639216204757, ""qw"": -0.8885779869532101, ""qy"": 0.20396259831092975, ""pitch"": 0.7524010993368914}"
1774665763871204600,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.4259619287428367, ""qx"": -0.3279202583218269, ""qz"": 0.24444656248299315, ""roll"": -0.27813280643629074, ""qw"": -0.88970059910887, ""qy"": 0.20284702379216535, ""pitch"": 0.7514133562870536}"
1774665763881187600,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.41769930853886517, ""qx"": -0.32824497403161296, ""qz"": 0.2408557362567211, ""roll"": -0.27880790315074644, ""qw"": -0.8908146412146202, ""qy"": 0.20172475695142622, ""pitch"": 0.7504719262079433}"
